subject_id,specimen_site,sampleevent,genus,originalsampletype,cx_positive,distance_meters,mean_distance_meters
ICE_0068,ES2,6D,Enterobacter,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,6D,Enterococcus,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,6D,Escherichia,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,6D,Klebsiella,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,6D,Pseudomonas,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,6D,Raoultella,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,6D,Staphylococcus,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES2,6D,Stenotrophomonas,Environmental Swab,FALSE,2.0055416666666668,2.0662538254677347
ICE_0068,ES3,6D,Acinetobacter,Environmental Swab,FALSE,2.1129625,2.710147600683162
ICE_0068,ES3,6D,Citrobacter,Environmental Swab,FALSE,2.1129625,2.710147600683162
